function,mode,fan,temp_c,coolix,xt_frame
Heat,heat,auto,23,0xB2BF5C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xEE, 0xAE, 0xAE, 0xAB, 0xEE, 0xFE}"
Heat,heat,auto,24,0xB2BF4C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xBA, 0xAB, 0xEB, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,25,0xB2BFCC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEE, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,26,0xB2BFDC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEE, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xFE}"
Heat,heat,auto,27,0xB2BF9C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xEE, 0xAE, 0xBA, 0xAB, 0xEE, 0xFE}"
Heat,heat,auto,28,0xB2BF8C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xBA, 0xAB, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,29,0xB2BFAC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xEB, 0xAE, 0xBA, 0xAE, 0xEE, 0xFE}"
Heat,heat,auto,30,0xB2BFBC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xBB, 0xBB, 0xEA, 0xAA, 0xEE, 0xFE}"
Heat,heat,low,17,0xB29F0C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAA, 0xEE, 0xEA, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,18,0xB29F1C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAA, 0xBB, 0xAB, 0xBB, 0xAB, 0xEE, 0xFE}"
Heat,heat,low,19,0xB29F3C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEA, 0xEE, 0xAE, 0xEE, 0xAA, 0xEE, 0xFE}"
Heat,heat,low,20,0xB29F2C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEA, 0xBA, 0xAB, 0xBB, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,21,0xB29F6C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xEB, 0xAE, 0xAE, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,22,0xB29F7C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xBB, 0xBB, 0xBA, 0xAA, 0xEE, 0xFE}"
Heat,heat,low,23,0xB29F5C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xEE, 0xAE, 0xAE, 0xAB, 0xEE, 0xFE}"
Heat,heat,low,24,0xB29F4C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xBA, 0xAB, 0xEB, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,25,0xB29FCC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEE, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,26,0xB29FDC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEE, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xFE}"
Heat,heat,low,27,0xB29F9C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xEE, 0xAE, 0xBA, 0xAB, 0xEE, 0xFE}"
Heat,heat,low,28,0xB29F8C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xBA, 0xAB, 0xEE, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,29,0xB29FAC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xEB, 0xAE, 0xBA, 0xAE, 0xEE, 0xFE}"
Heat,heat,low,30,0xB29FBC,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xBB, 0xBB, 0xEA, 0xAA, 0xEE, 0xFE}"
Heat,heat,medium,17,0xB25F0C,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAA, 0xEE, 0xEA, 0xEE, 0xAE, 0xEE, 0xFE}"
